pair_id,delta_A,delta_B,p_breakdown,V_A_initial,V_B_initial,V_A_step_10,V_B_step_10,V_A_step_100,V_B_step_100,V_A_star,V_B_star,abs_err_A_final,abs_err_B_final
60,0.8308334216594264,0.7969340835024183,0.2540452807899885,0.8570106695222617,0.1164993306287212,0.6421029343208847,0.6020314049195041,0.6420930286252865,0.6020537844440317,0.6420930286252865,0.6020537844440317,0.0000000000000000e+00,0.0000000000000000e+00
61,0.7361261789487036,0.7221125153976339,0.1612573009803574,0.9167003907619650,0.7374009455193812,0.6298915426548668,0.6111082987931351,0.6298762048864778,0.6111015450009230,0.6298762048864777,0.6111015450009230,1.1102230246251565e-16,0.0000000000000000e+00
62,0.7813133311109707,0.6273484043932029,0.0618058832624590,0.4781694576358491,0.7003029571437156,0.7235710206294272,0.4696167412998117,0.7236258696413662,0.4695651812736543,0.7236258696413664,0.4695651812736544,2.2204460492503131e-16,5.5511151231257827e-17
63,0.8771994515596923,0.9337484794293984,0.1605673357773916,0.7877559236206000,0.7942439928593290,0.5123998615390390,0.6242298534181414,0.5112656875534680,0.6235295760656991,0.5112656875534680,0.6235295760656990,0.0000000000000000e+00,1.1102230246251565e-16
64,0.8146647936002835,0.6894824833407472,0.1329660535631134,0.1950803991211798,0.3251913134277634,0.6960559379386990,0.5082496673838857,0.6961462277344144,0.5082826596162444,0.6961462277344145,0.5082826596162444,1.1102230246251565e-16,0.0000000000000000e+00
65,0.7757181123158380,0.7240952252303477,0.3480103523428551,0.6031302251782144,0.4360532190661919,0.6934800872069979,0.6492652312094110,0.6934801416244134,0.6492653596262832,0.6934801416244135,0.6492653596262832,1.1102230246251565e-16,0.0000000000000000e+00
66,0.7784194371577985,0.7066565167435174,0.1946877509642429,0.3586451523634614,0.1683417115271983,0.6698901382633697,0.5800452379275459,0.6699005284502781,0.5800589816881975,0.6699005284502783,0.5800589816881975,1.1102230246251565e-16,0.0000000000000000e+00
67,0.6558960470700539,0.5973326185328413,0.0904783599818115,0.5961736506619755,0.9645048760964994,0.6757086931788459,0.5969089590795634,0.6757097102170025,0.5969042585216454,0.6757097102170027,0.5969042585216454,1.1102230246251565e-16,0.0000000000000000e+00
68,0.5247925605926109,0.8611809674065120,0.1155204267263120,0.6755605071583003,0.0860773474078826,0.3686458990714012,0.8288679373740222,0.3686365319123535,0.8288906076458569,0.3686365319123535,0.8288906076458569,0.0000000000000000e+00,0.0000000000000000e+00
69,0.7196243468315340,0.7252599658890518,0.0545880658170756,0.3470686667461789,0.6490133036748073,0.5890557726770227,0.5991848919995735,0.5891739193104233,0.5991605640129047,0.5891739193104233,0.5991605640129046,0.0000000000000000e+00,1.1102230246251565e-16
